Id,Code,Name,Diaspora,Order
173,1437,żuromiński,FALSE,173
174,1438,żyrardowski,FALSE,174
175,1461,Ostrołęka,FALSE,175
176,1462,Płock,FALSE,176
177,1463,Radom,FALSE,177
178,1464,Siedlce,FALSE,178
179,1465,Warszawa,FALSE,179
180,1498,statki,FALSE,180
181,1499,zagranica,FALSE,181
182,1601,brzeski (opolski),FALSE,182
183,1602,głubczycki,FALSE,183
184,1603,kędzierzyńsko-kozielski,FALSE,184
185,1604,kluczborski,FALSE,185
186,1605,krapkowicki,FALSE,186
187,1606,namysłowski,FALSE,187
188,1607,nyski,FALSE,188
189,1608,oleski,FALSE,189
190,1609,opolski (opolski),FALSE,190
191,1610,prudnicki,FALSE,191
192,1611,strzelecki,FALSE,192
193,1661,Opole,FALSE,193
194,1801,bieszczadzki,FALSE,194
195,1802,brzozowski,FALSE,195
196,1803,dębicki,FALSE,196
197,1804,jarosławski,FALSE,197
198,1805,jasielski,FALSE,198
199,1806,kolbuszowski,FALSE,199
200,1807,krośnieński (podkarpacki),FALSE,200
201,1808,leżajski,FALSE,201
202,1809,lubaczowski,FALSE,202
203,1810,łańcucki,FALSE,203
204,1811,mielecki,FALSE,204
205,1812,niżański,FALSE,205
206,1813,przemyski,FALSE,206
207,1814,przeworski,FALSE,207
208,1815,ropczycko-sędziszowski,FALSE,208
209,1816,rzeszowski,FALSE,209
210,1817,sanocki,FALSE,210
211,1818,stalowowolski,FALSE,211
212,1819,strzyżowski,FALSE,212
213,1820,tarnobrzeski,FALSE,213
214,1821,leski,FALSE,214
215,1861,Krosno,FALSE,215
216,1862,Przemyśl,FALSE,216
217,1863,Rzeszów,FALSE,217
218,1864,Tarnobrzeg,FALSE,218
219,2001,augustowski,FALSE,219
220,2002,białostocki,FALSE,220
221,2003,bielski (podlaski),FALSE,221
222,2004,grajewski,FALSE,222
223,2005,hajnowski,FALSE,223
224,2006,kolneński,FALSE,224
225,2007,łomżyński,FALSE,225
226,2008,moniecki,FALSE,226
227,2009,sejneński,FALSE,227
228,2010,siemiatycki,FALSE,228
229,2011,sokólski,FALSE,229
230,2012,suwalski,FALSE,230
231,2013,wysokomazowiecki,FALSE,231
232,2014,zambrowski,FALSE,232
233,2061,Białystok,FALSE,233
234,2062,Łomża,FALSE,234
235,2063,Suwałki,FALSE,235
236,2201,bytowski,FALSE,236
237,2202,chojnicki,FALSE,237
238,2203,człuchowski,FALSE,238
239,2204,gdański,FALSE,239
240,2205,kartuski,FALSE,240
241,2206,kościerski,FALSE,241
242,2207,kwidzyński,FALSE,242
243,2208,lęborski,FALSE,243
244,2209,malborski,FALSE,244
245,2210,nowodworski (pomorski),FALSE,245
246,2211,pucki,FALSE,246
247,2212,słupski,FALSE,247
248,2213,starogardzki,FALSE,248
249,2214,tczewski,FALSE,249
250,2215,wejherowski,FALSE,250
251,2216,sztumski,FALSE,251
252,2261,Gdańsk,FALSE,252
253,2262,Gdynia,FALSE,253
254,2263,Słupsk,FALSE,254
255,2264,Sopot,FALSE,255
256,2401,będziński,FALSE,256
257,2402,bielski (śląski),FALSE,257
258,2403,cieszyński,FALSE,258
259,2404,częstochowski,FALSE,259
260,2405,gliwicki,FALSE,260
261,2406,kłobucki,FALSE,261
262,2407,lubliniecki,FALSE,262
263,2408,mikołowski,FALSE,263
264,2409,myszkowski,FALSE,264
265,2410,pszczyński,FALSE,265
266,2411,raciborski,FALSE,266
267,2412,rybnicki,FALSE,267
268,2413,tarnogórski,FALSE,268
269,2414,bieruńsko-lędziński,FALSE,269
270,2415,wodzisławski,FALSE,270
271,2416,zawierciański,FALSE,271
272,2417,żywiecki,FALSE,272
273,2461,Bielsko-Biała,FALSE,273
274,2462,Bytom,FALSE,274
275,2463,Chorzów,FALSE,275
276,2464,Częstochowa,FALSE,276
277,2465,Dąbrowa Górnicza,FALSE,277
278,2466,Gliwice,FALSE,278
279,2467,Jastrzębie-Zdrój,FALSE,279
280,2468,Jaworzno,FALSE,280
281,2469,Katowice,FALSE,281
282,2470,Mysłowice,FALSE,282
283,2471,Piekary Śląskie,FALSE,283
284,2472,Ruda Śląska,FALSE,284
285,2473,Rybnik,FALSE,285
286,2474,Siemianowice Śląskie,FALSE,286
287,2475,Sosnowiec,FALSE,287
288,2476,Świętochłowice,FALSE,288
289,2477,Tychy,FALSE,289
290,2478,Zabrze,FALSE,290
291,2479,Żory,FALSE,291
292,2601,buski,FALSE,292
293,2602,jędrzejowski,FALSE,293
294,2603,kazimierski,FALSE,294
295,2604,kielecki,FALSE,295
296,2605,konecki,FALSE,296
297,2606,opatowski,FALSE,297
298,2607,ostrowiecki,FALSE,298
299,2608,pińczowski,FALSE,299
300,2609,sandomierski,FALSE,300
301,2610,skarżyski,FALSE,301
302,2611,starachowicki,FALSE,302
303,2612,staszowski,FALSE,303
304,2613,włoszczowski,FALSE,304
305,2661,Kielce,FALSE,305
306,2801,bartoszycki,FALSE,306
307,2802,braniewski,FALSE,307
308,2803,działdowski,FALSE,308
309,2804,elbląski,FALSE,309
310,2805,ełcki,FALSE,310
311,2806,giżycki,FALSE,311
312,2807,iławski,FALSE,312
313,2808,kętrzyński,FALSE,313
314,2809,lidzbarski,FALSE,314
315,2810,mrągowski,FALSE,315
316,2811,nidzicki,FALSE,316
317,2812,nowomiejski,FALSE,317
318,2813,olecki,FALSE,318
319,2814,olsztyński,FALSE,319
320,2815,ostródzki,FALSE,320
321,2816,piski,FALSE,321
322,2817,szczycieński,FALSE,322
323,2818,gołdapski,FALSE,323
324,2819,węgorzewski,FALSE,324
325,2861,Elbląg,FALSE,325
326,2862,Olsztyn,FALSE,326
327,3001,chodzieski,FALSE,327
328,3002,czarnkowsko-trzcianecki,FALSE,328
329,3003,gnieźnieński,FALSE,329
330,3004,gostyński,FALSE,330
331,3005,grodziski (wielkopolski),FALSE,331
332,3006,jarociński,FALSE,332
333,3007,kaliski,FALSE,333
334,3008,kępiński,FALSE,334
335,3009,kolski,FALSE,335
336,3010,koniński,FALSE,336
337,3011,kościański,FALSE,337
338,3012,krotoszyński,FALSE,338
339,3013,leszczyński,FALSE,339
340,3014,międzychodzki,FALSE,340
341,3015,nowotomyski,FALSE,341
342,3016,obornicki,FALSE,342
343,3017,ostrowski (wielkopolski),FALSE,343
344,3018,ostrzeszowski,FALSE,344
345,3019,pilski,FALSE,345
346,3020,pleszewski,FALSE,346
347,3021,poznański,FALSE,347
348,3022,rawicki,FALSE,348
349,3023,słupecki,FALSE,349
350,3024,szamotulski,FALSE,350
351,3025,średzki (wielkopolski),FALSE,351
352,3026,śremski,FALSE,352
353,3027,turecki,FALSE,353
354,3028,wągrowiecki,FALSE,354
355,3029,wolsztyński,FALSE,355
356,3030,wrzesiński,FALSE,356
357,3031,złotowski,FALSE,357
358,3061,Kalisz,FALSE,358
359,3062,Konin,FALSE,359
360,3063,Leszno,FALSE,360
361,3064,Poznań,FALSE,361
362,3201,białogardzki,FALSE,362
363,3202,choszczeński,FALSE,363
364,3203,drawski,FALSE,364
365,3204,goleniowski,FALSE,365
366,3205,gryficki,FALSE,366
367,3206,gryfiński,FALSE,367
368,3207,kamieński,FALSE,368
369,3208,kołobrzeski,FALSE,369
370,3209,koszaliński,FALSE,370
371,3210,myśliborski,FALSE,371
372,3211,policki,FALSE,372
373,3212,pyrzycki,FALSE,373
374,3213,sławieński,FALSE,374
375,3214,stargardzki,FALSE,375
376,3215,szczecinecki,FALSE,376
377,3216,świdwiński,FALSE,377
378,3217,wałecki,FALSE,378
379,3218,łobeski,FALSE,379
380,3261,Koszalin,FALSE,380
381,3262,Szczecin,FALSE,381
382,3263,Świnoujście,FALSE,382
