CountyCode,Pełna siedziba,Number
0201,"Szkoła Podstawowa Nr 3, ul. Ceramiczna 5, 59-700 Bolesławiec",0201011
0201,"Szkoła Podstawowa Nr 3, ul. Ceramiczna 5, 59-700 Bolesławiec",0201012
0201,"Szkoła Podstawowa Nr 5, ul. Dolne Młyny 60, 59-700 Bolesławiec",0201013
0201,"Szkoła Podstawowa Nr 5, ul. Dolne Młyny 60, 59-700 Bolesławiec",0201014
0201,"Szkoła Podstawowa Nr 5, ul. Dolne Młyny 60, 59-700 Bolesławiec",0201015
0201,"Szkoła Podstawowa Nr 2, ul. Juliusza Słowackiego 2, 59-700 Bolesławiec",0201016
0201,"Szkoła Podstawowa Nr 1, ul. Jana Pawła II 38c, 59-700 Bolesławiec",0201017
0201,"Szkoła Podstawowa Nr 1, ul. Jana Pawła II 38c, 59-700 Bolesławiec",0201018
0201,"Miejskie Przedszkole Publiczne Nr 6, ul. Piotra i Pawła 2, 59-700 Bolesławiec",0201019
0201,"Szkoła Podstawowa Nr 2, ul. Juliusza Słowackiego 2, 59-700 Bolesławiec",02010110
0201,"Szkoła Podstawowa Nr 4, ul. Mikołaja Brody 12, 59-700 Bolesławiec",02010111
0201,"Szkoła Podstawowa Nr 4, ul. Bielska 5, 59-700 Bolesławiec",02010112
0201,"Szkoła Podstawowa Nr 4, ul. Bielska 5, 59-700 Bolesławiec",02010113
0201,"Szkoła Podstawowa Nr 4, ul. Bielska 5, 59-700 Bolesławiec",02010114
0201,"Miejskie Przedszkole Publiczne Nr 5, ul. Zygmunta Augusta 16b, 59-700 Bolesławiec",02010115
0201,"Przedsiębiorstwo Wodociągów i Kanalizacji, Aleja Wojska Polskiego 6/1a, 59-700 Bolesławiec",02010116
0201,"Pałac Ślubów, Ratusz-Rynek 41, 59-700 Bolesławiec",02010117
0201,"Szkoła Podstawowa Nr 4, ul. Mikołaja Brody 12, 59-700 Bolesławiec",02010118
0201,"Miejskie Przedszkole Publiczne Nr 2, ul. Mikołaja Brody 17, 59-700 Bolesławiec",02010119
0201,"Miejskie Przedszkole Publiczne Nr 7, ul. Górne Młyny 5, 59-700 Bolesławiec",02010120
0201,"Miejskie Przedszkole Publiczne Nr 7, ul. Górne Młyny 5, 59-700 Bolesławiec",02010121
0201,"Zespół Opieki Zdrowotnej w Bolesławcu, ul. Jeleniogórska 4, 59-700 Bolesławiec",02010122
0201,"Wojewódzki Szpital dla Nerwowo i Psychicznie Chorych w Bolesławcu, Aleja Tysiąclecia 30, 59-700 Bolesławiec",02010123
0201,"Dom Pomocy Społecznej w Bolesławcu, ul. Piastów 17, 59-700 Bolesławiec",02010124
0201,"Dom Ludowy, Żeliszów 102A, 59-700 Bolesławiec",0201021
0201,"Dom Ludowy, Bożejowice 1A, 59-700 Bolesławiec",0201022
0201,"Dom Ludowy, Otok 44C, 59-700 Bolesławiec",0201023
0201,"Dom Ludowy, Brzeźnik 37, 59-700 Bolesławiec",0201024
0201,"Dom Ludowy, Dobra 94, 59-700 Bolesławiec",0201025
0201,"Szkoła Podstawowa, Dąbrowa Bolesławiecka 43, 59-700 Bolesławiec",0201026
0201,"Dom Ludowy, Trzebień ul. Lipowa 5, 59-700 Bolesławiec",0201027
0201,"Dom Ludowy, Kraśnik Dolny 24C, 59-700 Bolesławiec",0201028
0201,"Centrum Administracyjno-Kulturalne, Kruszyn ul. Kasztanowa 1B, 59-700 Bolesławiec",0201029
0201,"Dom Ludowy, Łaziska 30A, 59-700 Bolesławiec",02010210
0201,"Dom Ludowy, Ocice 54B, 59-730 Nowogrodziec",02010211
0201,"Szkoła Podstawowa w Gromadce, ul. gen. Wł. Sikorskiego 19, 59-706 Gromadka",0201031
0201,"Gminny Ośrodek Pomocy Społecznej w Gromadce z siedzibą w Wierzbowej, Wierzbowa 19, 59-706 Gromadka",0201032
0201,"Świetlica wiejska w Różyńcu, Różyniec 41B, 59-706 Gromadka",0201033
0201,"Szkoła Podstawowa w Modle, Modła 76, 59-706 Gromadka",0201034
0201,"Szkoła Podstawowa im. Górników Surowców Mineralnych w Czernej, Czerna 52, 59-730 Nowogrodziec",0201041
0201,"Szkoła Podstawowa im. Jana Pawła II w Gierałtowie, Gierałtów 47, 59-730 Nowogrodziec",0201042
0201,"Budynek byłej Szkoły Podstawowej w Godzieszowie, Godzieszów 96, 59-730 Nowogrodziec",0201043
