CountyCode,Pełna siedziba,Number
0201,"Szkoła Podstawowa im. Jana Pawła II w Gościszowie, Gościszów 152, 59-730 Nowogrodziec",0201044
0201,"Świetlica wiejska w Milikowie, Milików 146, 59-730 Nowogrodziec",0201045
0201,"Szkoła Podstawowa im. Józefa Piłsudskiego w Nowej Wsi, Nowa Wieś 26a, 59-730 Nowogrodziec",0201046
0201,"Szkoła Podstawowa im. Bolesława Chrobrego w Nowogrodźcu, ul. Sienkiewicza 8, 59-730 Nowogrodziec",0201047
0201,"Gminne Centrum Kultury i Sportu w Nowogrodźcu, ul. Lubańska 42a, 59-730 Nowogrodziec",0201048
0201,"Budynek nr 63 w Parzycach (były Ośrodek Kultury w Parzycach), Parzyce 63, 59-730 Nowogrodziec",0201049
0201,"Świetlica Wiejska w Wykrotach, Wykroty ul. Główna 27, 59-730 Nowogrodziec",02010410
0201,"Świetlica Wiejska w Zebrzydowej, Zebrzydowa 52, 59-730 Nowogrodziec",02010411
0201,"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Nowogrodźcu, ul. Lubańska 16, 59-730 Nowogrodziec",02010412
0201,"Centrum Aktywności Społecznej w Tomisławiu, Tomisław 62A, 59-724 Osiecznica",0201051
0201,"Gminny Ośrodek Sportu i Rekreacji w Osiecznicy, ul. Lubańska 29B, 59-724 Osiecznica",0201052
0201,"Świetlica Wiejska w Przejęsławiu, Przejęsław 10a, 59-724 Osiecznica",0201053
0201,"Świetlica Wiejska w Ławszowej, Ławszowa 81, 59-724 Osiecznica",0201054
0201,"Świetlica Wiejska w Parowej, Parowa 89A, 59-724 Osiecznica",0201055
0201,"Dom Myśliwski w Ołoboku, Ołobok 58A, 59-724 Osiecznica",0201056
0201,"Centrum Aktywności Społecznej w Świętoszowie, ul. Szkolna 15, 59-726 Świętoszów",0201057
0201,"Wiejski Dom Kultury, Warta Bolesławiecka 29B, 59-720 Warta Bolesławiecka",0201061
0201,"Szkoła Podstawowa im. Żołnierzy II Armii Wojska Polskiego, Tomaszów Bolesławiecki 96, 59-720 Tomaszów Bolesławiecki",0201062
0201,"Świetlica Wiejska, Raciborowice Górne 196, 59-720 Raciborowice Górne",0201063
0201,"Zespół Szkolno-Przedszkolny, Iwiny Osiedle I 6, 59-720 Iwiny",0201064
0201,"Świetlica Wiejska, Szczytnica 34A, 59-720 Szczytnica",0201065
0201,"Kino „Kujawy”, Raciborowice Dolne 61, 59-720 Raciborowice Dolne",0201066
0202,"Bielawski Inkubator Przedsiębiorczości Sala Konferencyjna, ul. Wolności 24, 58-260 Bielawa",0202011
0202,"Ekologiczna Szkoła Podstawowa nr 7 im. Juliana Tuwima, ul. Brzeżna 48, 58-260 Bielawa",0202012
0202,"Zespół Szkół i Placówek Kształcenia Zawodowego, ul. Stefana Żeromskiego 41, 58-260 Bielawa",0202013
0202,"Klub Spółdzielni Mieszkaniowej, Osiedle Włókniarzy 1, 58-260 Bielawa",0202014
0202,"Ekologiczna Szkoła Podstawowa nr 7 im. Juliana Tuwima, Osiedle Włókniarzy 10, 58-260 Bielawa",0202015
0202,"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi, ul. Parkowa 12, 58-260 Bielawa",0202016
0202,"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi, ul. Parkowa 12, 58-260 Bielawa",0202017
0202,"Żłobek Publiczny, ul. Generała Grota Roweckiego 7, 58-260 Bielawa",0202018
0202,"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi, ul. Parkowa 12, 58-260 Bielawa",0202019
0202,"Klub ""Sowa"" Spółdzielni Mieszkaniowej, ul. Jana III Sobieskiego 17, 58-260 Bielawa",02020110
0202,"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi, ul. Generała Grota Roweckiego 6, 58-260 Bielawa",02020111
0202,"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi, ul. Generała Grota Roweckiego 6, 58-260 Bielawa",02020112
0202,"Przedszkole Publiczne nr 3, ul. 3 Maja 22, 58-260 Bielawa",02020113
0202,"Zespół Szkół Ogólnokształcących, ul. Szkolna 5, 58-260 Bielawa",02020114
0202,"Miejski Zarząd Budynków Mieszkalnych Sp. z o. o., ul. 3 Maja 48, 58-260 Bielawa",02020115
0202,"Zespół Ośrodków Wsparcia, ul. Lotnicza 5, 58-260 Bielawa",02020116
0202,"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludowa 11, 58-260 Bielawa",02020117
0202,"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludowa 11, 58-260 Bielawa",02020118
0202,"Zespół Szkół Cechu Rzemiosł Różnych Zasadnicza Szkoła Zawodowa Cechu Rzemiosł Różnych i Małej Przedsiębiorczości, ul. Polna 2, 58-260 Bielawa",02020119
0202,"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludwika Waryńskiego 50, 58-260 Bielawa",02020120
0202,"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludwika Waryńskiego 50, 58-260 Bielawa",02020121
0202,"Dom Pomocy Społecznej, Stefana Żeromskiego 2, 58-260 Bielawa",02020122
0202,"Pracownicze Ogródki Działkowe ""Jar"", ul. Złota 10, 58-200 Dzierżoniów",0202021
0202,"Przedszkole Publiczne nr 7, Osiedle Tęczowe 3, 58-200 Dzierżoniów",0202022
0202,"dawna siedziba Ośrodka Pomocy Społecznej, ul. Złota 8, 58-200 Dzierżoniów",0202023
0202,"Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi, Osiedle Błękitne 25, 58-200 Dzierżoniów",0202024
0202,"Przedszkole Niepubliczne nr 3 ""Pod Topolą"", Osiedle Błękitne 26, 58-200 Dzierżoniów",0202025
0202,"Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi, Osiedle Błękitne 25, 58-200 Dzierżoniów",0202026
0202,"Szkoła Podstawowa nr 1, ul. Sikorskiego 2, 58-200 Dzierżoniów",0202027
0202,"Filia Miejsko-Powiatowej Biblioteki Publicznej im. K. K. Baczyńskiego w Dzierżoniowie, ul. Sikorskiego 2, 58-200 Dzierżoniów",0202028
0202,"Przedszkole Niepubliczne nr 4, Osiedle Jasne 21, 58-200 Dzierżoniów",0202029
0202,"Niepubliczny Żłobek ""Sówka"" (dawny budynek po byłej Szkole Podstawowej nr 6), Osiedle Jasne 22, 58-200 Dzierżoniów",02020210
0202,"Niepubliczna Szkoła Podstawowa Sióstr Salezjanek, ul. Wrocławska 51, 58-200 Dzierżoniów",02020211
0202,"Dzienny Dom Senior +, ul. Krasickiego 25, 58-200 Dzierżoniów",02020212
0202,"I Liceum Ogólnokształcące im. Jędrzeja Śniadeckiego, ul. Piłsudskiego 10, 58-200 Dzierżoniów",02020213
0202,"Zespół Szkół Nr 3 im. Kombatantów Rzeczypospolitej Polskiej, ul. Słowiańska 6, 58-200 Dzierżoniów",02020214
0202,"dawny Biurowiec ""Silesiany"", ul. Batalionów Chłopskich 19, 58-200 Dzierżoniów",02020215
0202,"Przedszkole Publiczne nr 1, ul. Batalionów Chłopskich 20, 58-200 Dzierżoniów",02020216
0202,"Szkoła Podstawowa nr 9, ul. Mikołaja Kopernika 7, 58-200 Dzierżoniów",02020217
0202,"Dzierżoniowski Ośrodek Kultury, ul. Świdnicka 23, 58-200 Dzierżoniów",02020218
0202,"Przedszkole Niepubliczne ""Słoneczna Piątka"", ul. Świdnicka 41, 58-200 Dzierżoniów",02020219
0202,"Ośrodek Pomocy Społecznej, ul. Szkolna 24, 58-200 Dzierżoniów",02020220
0202,"Szkoła Podstawowa nr 3, ul. Nowowiejska 64, 58-200 Dzierżoniów",02020221
0202,"Areszt Śledczy, ul. Ząbkowicka 53, 58-200 Dzierżoniów",02020222
0202,"Niepubliczny Zakład Opieki Zdrowotnej Szpital Powiatowy Spółka z o. o., ul. Cicha 1, 58-200 Dzierżoniów",02020223
0202,"Niepubliczna Szkoła Podstawowa-Stowarzyszenie Nauczyciele Dzieciom, ul. Świdnicka 53, 58-250 Pieszyce",0202031
0202,"Zespół Szkół im Ks. Dzierżonia, Budynek B (łącznik), ul. Mickiewicza 1, 58-250 Pieszyce",0202032
0202,"Szkoła Podstawowa Nr 1, ul. Ogrodowa 23, 58-250 Pieszyce",0202033
0202,"Ośrodek Pomocy Społecznej, ul. Kopernika 124, 58-250 Pieszyce",0202034
0202,"Sala Sołecka, Kamionki 60, 58-250 Pieszyce",0202035
0202,"Świetlica Remizy Strażackiej OSP Piskorzów, Piskorzów 45a, 58-250 Pieszyce",0202036
0202,"Filia Miejskiej Biblioteki Publicznej-Centrum Kultury w Pieszycach, Rościszów 51a, 58-250 Pieszyce",0202037
0202,"Specjalistyczny Szpital Chorób Płuc w Rościszowie, Rościszów 11, 58-250 Pieszyce",0202038
0202,"Dom Pomocy Społecznej ""Zielone Wzgórza"" (budynek 2), Rościszów 84, 58-250 Pieszyce",0202039
0202,"Szkoła Podstawowa, ul. Tedeusza Kościuszki 1, 58-240 Piława Górna",0202041
0202,"Szkoła Podstawowa, ul. Tadeusza Kościuszki 1, 58-240 Piława Górna",0202042
0202,"Świetlica Ochotniczej Straży Pożarnej, ul. Bolesława Limanowskiego 3, 58-240 Piława Górna",0202043
0202,"Centrum Biblioteczno-Kulturalne, ul. Kolejowa 12B, 58-116 Mościsko",0202051
0202,"Centrum Biblioteczno-Kulturalne, ul. Kolejowa 12B, 58-116 Mościsko",0202052
0202,"Sala Integracji Społecznej, Włóki 78, 58-207 Tuszyn",0202053
0202,"Szkoła Podstawowa im. Jana Pawła II, Tuszyn 47, 58-207 Tuszyn",0202054
0202,"Park wiejski z infrastrukturą sportowo-rekreacyjną, Książnica 5A, 58-207 Tuszyn",0202055
0202,"Filia Nr 2 Biblioteki Publicznej, ul. Piastowska 1, 58-211 Uciechów",0202056
0202,"Centrum Kulturalno-Sportowo-Oświatowe, Dobrocin ul. Kościuszki 14A, 58-200 Dzierżoniów",0202057
0202,"Budynek wielofunkcyjny, Roztocznik 41A, 58-217 Gilów",0202058
0202,"Zespół Szkolno-Przedszkolny, ul. Główna 50, 58-241 Piława Dolna",0202059
0202,"Świetlica wiejska, Owiesno 88, 58-262 Ostroszowice",02020510
0202,"Zespół Szkolno-Przedszkolny, ul. Bielawska 58, 58-262 Ostroszowice",02020511
0202,"Domek Myśliwski, Jodłownik 40, 58-262 Ostroszowice",02020512
0202,"Biuro Wychowawcy, Błotnista 12, 58-241 Piława Dolna",02020513
0202,"Szkoła Podstawowa im. Adama Mickiewicza, Jaźwina 79, 58-212 Jaźwina",0202061
0202,"Sala Wiejska, Ratajno 55, 58-210 Łagiewniki",0202062
0202,"Sala Wiejska, ul. Wesoła 9, 58-214 Oleszna",0202063
0202,"Sala Wiejska, Radzików 56, 58-210 Łagiewniki",0202064
0202,"Gminny Ośrodek Kultury, Bibliotek i Sportu, ul. Wrocławska 1, 58-210 Łagiewniki",0202065
0202,"Szkoła Podstawowa im. Jana Pawła II, ul. Jedności Narodowej 38, 58-210 Łagiewniki",0202066
0202,"Szkoła Podstawowa w Niemczy, ul. Bolesława Chrobrego 25, 58-230 Niemcza",0202071
0202,"Niemczański Ośrodek Kultury, ul. Rynek 32, 58-230 Niemcza",0202072
0202,"Dom Pomocy Społecznej, ul. Kolejowa 14 - 16, 58-230 Niemcza",0202073
0202,"Niepubliczna Szkoła Podstawowa, Przerzeczyn-Zdrój ul. Zdrojowa 14, 58-231 Niemcza",0202074
0202,"Budynek gminny, Wilków Wielki 26, 58-230 Niemcza",0202075
0202,"Niepubliczna Szkoła Podstawowa, Gilów 49, 58-217 Niemcza",0202076
0203,"Państwowa Wyższa Szkoła Zawodowa, ul. Piotra Skargi 5, 67-200 Głogów",0203011
0203,"Zespół Szkół Politechnicznych, Plac Jana z Głogowa 7, 67-200 Głogów",0203012
0203,"Zespół Szkół Ogólnokształcących, ul. Jedności Robotniczej 10, 67-200 Głogów",0203013
0203,"Szkoła Podstawowa nr 2, Aleja Wolności 74, 67-200 Głogów",0203014
0203,"Szkoła Podstawowa nr 8, ul. Gustawa Morcinka 2, 67-200 Głogów",0203015
0203,"Miejska Biblioteka Publiczna, ul. Jedności Robotniczej 15, 67-200 Głogów",0203016
0203,"Przedszkole Publiczne nr 6, ul. Gustawa Morcinka 6, 67-200 Głogów",0203017
0203,"Szkoła Podstawowa nr 8, ul. Gustawa Morcinka 2, 67-200 Głogów",0203018
0203,"Szkoła Podstawowa nr 6, ul. Kościuszki 18, 67-200 Głogów",0203019
0203,"Szkoła Podstawowa nr 12, ul. Mikołaja Gomółki 43, 67-200 Głogów",02030110
0203,"Stowarzyszenie na Rzecz Integracji i Usamodzielniania ""Dom w Głogowie"", ul. Okrężna 21, 67-200 Głogów",02030111
0203,"Przedszkole Publiczne nr 9, ul. Perseusza 3, 67-200 Głogów",02030112
0203,"Szkoła Podstawowa nr 12, ul. Mikołaja Gomółki 43, 67-200 Głogów",02030113
0203,"Przedszkole Publiczne nr 19, ul. Plutona 3, 67-200 Głogów",02030114
0203,"Szkoła Podstawowa nr 10, ul. Andromedy 62, 67-200 Głogów",02030115
0203,"Szkoła Podstawowa nr 11, ul. Gwiaździsta 2, 67-200 Głogów",02030116
0203,"Szkoła Podstawowa nr 11, ul. Gwiaździsta 2, 67-200 Głogów",02030117
0203,"Przedszkole Publiczne nr 20, ul. Herkulesa 4, 67-200 Głogów",02030118
0203,"Przedszkole Publiczne nr 20, ul. Herkulesa 4, 67-200 Głogów",02030119
0203,"Szkoła Podstawowa nr 7, ul. Ignacego Daszyńskiego 11, 67-200 Głogów",02030120
0203,"Przedszkole Publiczne nr 7, ul. Stanisława Moniuszki 4a, 67-200 Głogów",02030121
0203,"Szkoła Podstawowa nr 7, ul. Ignacego Daszyńskiego 11, 67-200 Głogów",02030122
0203,"Zespół Placówek Szkolno-Wychowawczych, ul. Sportowa 1, 67-200 Głogów",02030123
0203,"Szkoła Podstawowa nr 9, ul. Mieczysława Niedziałkowskiego 10, 67-200 Głogów",02030124
0203,"Miejskie Centrum Wspierania Rodziny, ul. Folwarczna 7, 67-200 Głogów",02030125
0203,"Szkoła Podstawowa nr 13, ul. Akacjowa 10, 67-200 Głogów",02030126
0203,"Szkoła Podstawowa nr 14, ul. Królewska 12, 67-200 Głogów",02030127
0203,"Przedszkole Publiczne nr 17, ul. Królewska 14, 67-200 Głogów",02030128
0203,"Szkoła Podstawowa nr 3, Plac Mieszka I 22, 67-200 Głogów",02030129
0203,"Szkoła Podstawowa nr 3, Plac Mieszka I 22, 67-200 Głogów",02030130
0203,"Szkoła Podstawowa nr 3, Plac Mieszka I 22, 67-200 Głogów",02030131
0203,"Przedszkole Publiczne nr 21, ul. Jagiellońska 37, 67-200 Głogów",02030132
0203,"Przedszkole Publiczne nr 21, ul. Jagiellońska 37, 67-200 Głogów",02030133
0203,"Zakład Karny w Głogowie, ul. Lipowa 21, 67-200 Głogów",02030134
0203,"Dom Pomocy Społecznej ""Magnolia"" w Głogowie, ul. Neptuna 22/24, 67-200 Głogów",02030135
0203,"Głogowski Szpital Powiatowy sp. z o. o., ul. Tadeusza Kościuszki 15, 67-200 Głogów",02030136
0203,"Świetlica Wiejska, Ruszowice ul. Tęczowa 55, 67-210 Głogów",0203021
0203,"Szkoła Podstawowa w Przedmościu, Przedmoście ul. Szkolna 3, 67-210 Głogów",0203022
0203,"Zespół Szkolno-Przedszkolny w Serbach, Serby ul. Ogrodowa 18, 67-210 Głogów",0203023
0203,"Szkoła Podstawowa w Wilkowie, Wilków ul. Głogowska 5 a, 67-200 Głogów",0203024
0203,"Szkoła Podstawowa, Jaczów ul. Główna 20, 67-210 Głogów",0203031
0203,"Szkoła Podstawowa, ul. Głogowska 19, 67-222 Jerzmanowa",0203032
0203,"Świetlica Wiejska, Kurowice 42A, 67-210 Głogów",0203033
0203,"Świetlica Wiejska, Bądzów 39A, 67-222 Jerzmanowa",0203034
0203,"Zespół Szkolno-Przedszkolny w Kotli Szkoła Podstawowa im. Kornela Makuszyńskiego, ul. Szkolna 2, 67-240 Kotla",0203041
0203,"Budynek komunalny, Chociemyśl 23, 67-240 Kotla",0203042
0203,"Budynek komunalny, Sobczyce 38, 67-240 Kotla",0203043
0203,"Sala wiejska, Głogówko 21, 67-240 Kotla",0203044
0203,"Sala wiejska, Skidniów 9, 67-240 Kotla",0203045
0203,"Gminny Ośrodek Kultury, Białołęka 12, 67-221 Białołęka",0203051
0203,"Świetlica Wiejska, Piersna 26, 67-221 Białołęka",0203052
0203,"Szkoła Podstawowa, Nielubia 80, 67-231 Żukowice",0203061
0203,"Szkoła Podstawowa, Brzeg Głogowski 27, 67-231 Żukowice",0203062
0204,"SPZOZ Ośrodek Rehabilitacji Dzieci Niepełnosprawnych, os. Kazimierza Wielkiego 25, 56-200 Góra",0204011
0204,"Ośrodek Pomocy Społecznej, ul. Poznańska 23, 56-200 Góra",0204012
0204,"Szkoła Podstawowa Nr 3, ul. Podwale 20, 56-200 Góra",0204013
0204,"Szkoła Podstawowa Nr 1, ul. Szkolna 2, 56-200 Góra",0204014
0204,"Przedszkole Publiczne Nr 1, ul. Stefana Żeromskiego 15, 56-200 Góra",0204015
0204,"Zespół Żłobek i Klub Dziecięcy, ul. Piastów 34, 56-200 Góra",0204016
0204,"Szkoła Podstawowa Nr 1, ul. Marii Konopnickiej 2, 56-200 Góra",0204017
0204,"Filia biblioteczna, Czernina ul. Rynek 8, 56-200 Góra",0204018
0204,"Świetlica Wiejska, Kłoda Górowska 45, 56-200 Góra",0204019
0204,"Świetlica Wiejska, Stara Góra 33A, 56-200 Góra",02040110
0204,"Zespół Szkoła Podstawowa i Przedszkole, Witoszyce 10, 56-200 Góra",02040111
0204,"Dom Kultury, Luboszyce 15, 56-209 Jemielno",0204021
0204,"Urząd Gminy Jemielno, Jemielno 81, 56-209 Jemielno",0204022
0204,"Świetlica Wiejska, Psary 44, 56-209 Jemielno",0204023
0204,"Zespół Szkół w Sicinach, Siciny 78, 56-215 Niechlów",0204031
0204,"Gminny Ośrodek Kultury, ul. Dworcowa 9, 56-215 Niechlów",0204032
0204,"Świetlica wiejska, Lipowiec 16, 56-215 Niechlów",0204033
0204,"Dom Pomocy Społecznej, Wroniniec 59, 56-215 Niechlów",0204034
0204,"Szkoła Podstawowa, Czarnoborsko 10, 56-210 Wąsosz",0204041
0204,"Ośrodek Pomocy Społecznej, ul. Krzywa 11, 56-210 Wąsosz",0204042
0204,"Zespół Placówek Kultury, ul. Zacisze 10D, 56-210 Wąsosz",0204043
0204,"Szkoła Podstawowa, Pobiel 75, 56-210 Wąsosz",0204044
0204,"Świetlica wiejska, Kamień Górowski 8A, 56-210 Wąsosz",0204045
0205,"Szkoła Podstawowa Nr 5, ul. Armii Krajowej 9, 59-400 Jawor",0205011
0205,"Europejskie Centrum Młodzieży Euroregionu NYSA, ul. Parkowa 5, 59-400 Jawor",0205012
0205,"Powiatowe Centrum Kształcenia Zawodowego i Ustawicznego, ul. Wrocławska 30a, 59-400 Jawor",0205013
0205,"Szkoła Podstawowa Nr 2, Plac Bankowy 1, 59-400 Jawor",0205014
0205,"Dolnośląski Zespół Szkół w Jaworze, ul. kard. Stefana Wyszyńskiego 1, 59-400 Jawor",0205015
0205,"Miejska Biblioteka Publiczna, Plac Seniora 4, 59-400 Jawor",0205016
0205,"Filia Nr 1 Miejskiej Biblioteki Publicznej, ul. Stanisława Moniuszki 10, 59-400 Jawor",0205017
0205,"Szkoła Podstawowa Nr 1, ul. Stanisława Moniuszki 4, 59-400 Jawor",0205018
0205,"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Ignacego Paderewskiego 6, 59-400 Jawor",0205019
0205,"budynek po byłej Szkole Podstawowej Nr 1, ul. Bolesława Limanowskiego 10, 59-400 Jawor",02050110
0205,"Oddział zamiejscowy Przedszkola Publicznego nr 4, ul. Romana Dmowskiego 5, 59-400 Jawor",02050111
0205,"Szkoła Podstawowa nr 4, ul. Starojaworska 82, 59-400 Jawor",02050112
0205,"Dom Pomocy Społecznej w Jaworze, pl. Seniora 3, 59-400 Jawor",02050113
0205,"Jaworskie Centrum Medyczne Sp. z o. o., ul. Szpitalna 3, 59-400 Jawor",02050114
0205,"Gminno-Miejski Ośrodek Kultury, Sportu i Rekreacji, ul. Szpitalna 16, 59-420 Bolków",0205021
0205,"Internat Zespołu Szkół i Placówek Oświatowych w Bolkowie, ul. Mickiewicza 1, 59-420 Bolków",0205022
0205,"Gminno-Miejski Zakład Budżetowy Gospodarki Komunalnej i Mieszkaniowej, ul. Kolejowa 5, 59-420 Bolków",0205023
0205,"Przedszkole Samorządowe, ul. Sienkiewicza 39, 59-420 Bolków",0205024
0205,"Świetlica Wiejska, Mysłów 44, 59-420 Bolków",0205025
0205,"Świetlica Wiejska, Kaczorów ul. Nowa Wieś 1B, 59-420 Bolków",0205026
0205,"Świetlica Wiejska, Lipa, 59-420 Bolków",0205027
0205,"Szkoła Podstawowa, Sady Górne 94, 59-420 Bolków",0205028
0205,"Świetlica Wiejska, Wierzchosławice 106, 59-420 Bolków",0205029
0205,"Świetlica Wiejska, Stare Rochowice 53, 59-420 Bolków",02050210
0205,"Świetlica Wiejska, Wolbromek 43B, 59-420 Bolków",02050211
0205,"Dom Pomocy Społecznej w Jaworze Filia w Bolkowie, ul. Kamiennogórska 3, 59-420 Bolków",02050212
0205,"Zakład Opiekuńczo-Leczniczy w Bolkowie, ul. Wysokogórska 19, 59-420 Bolków",02050213
0205,"Zespół Szkolno-Przedszkolny w Męcince, Męcinka 10B, 59-424 Męcinka",0205031
0205,"Świetlica Wiejska, Małuszów 17, 59-424 Męcinka",0205032
0205,"Była Szkoła Filialna, Pomocne 51, 59-424 Męcinka",0205033
0205,"Zespół Szkolno-Przedszkolny w Piotrowicach, Piotrowice 139, 59-424 Męcinka",0205034
0205,"Zespół Szkolno-Przedszkolny w Targoszynie, Targoszyn 51, 59-407 Mściwojów",0205041
0205,"Szkoła Podstawowa w Snowidzy, Snowidza 91A, 59-407 Mściwojów",0205042
0205,"Świetlica wiejska w Mściwojowie, Mściwojów 54B, 59-407 Mściwojów",0205043
0205,"Świetlica Wiejska w Paszowicach, Paszowice 136, 59-411 Paszowice",0205051
0205,"Świetlica Wiejska w Wiadrowie, Wiadrów 39A, 59-411 Paszowice",0205052
0205,"Szkoła Podstawowa, Budziszów Wielki 10, 59-430 Wądroże Wielkie",0205061
0205,"Szkoła Podstawowa, Wądroże Wielkie 169, 59-430 Wądroże Wielkie",0205062
0205,"Dom Pomocy Społecznej w Jaworze-Dom w Mierczycach, Mierczyce 34, 59-430 Wądroże Wielkie",0205063
0206,"Niepubliczna Szkoła Podstawowa w Karpaczu, Szkoła 707, ul. Myśliwska 15c, 58-540 Karpacz",0206011
0206,"Szkoła Podstawowa w Karpaczu, ul. Konstytucji 3 Maja 48a, 58-540 Karpacz",0206012
0206,"Hala Widowiskowo-Sportowa, ul. Konstytucji 3 Maja 48b, 58-540 Karpacz",0206013
0206,"OKW ""Krucze Skały"", ul. Wilcza 1, 58-540 Karpacz",0206014
0206,"Muzeum Zabawek, ul. Kolejowa 3, 58-540 Karpacz",0206015
0206,"Centrum Medyczne Karpacz, ul. Myśliwska 13, 58-540 Karpacz",0206016
0206,"Miejska Biblioteka Publiczna Filia Wojków, ul. Górna 2, 58-530 Kowary",0206021
