"Id","Code","Name","ProvinceCode","Diaspora","Order"
"144","1407","kozienicki","14","FALSE","144"
"145","1408","legionowski","14","FALSE","145"
"146","1409","lipski","14","FALSE","146"
"147","1410","łosicki","14","FALSE","147"
"148","1411","makowski","14","FALSE","148"
"149","1412","miński","14","FALSE","149"
"150","1413","mławski","14","FALSE","150"
"151","1414","nowodworski","14","FALSE","151"
"152","1415","ostrołęcki","14","FALSE","152"
"153","1416","ostrowski","14","FALSE","153"
"154","1417","otwocki","14","FALSE","154"
"155","1418","piaseczyński","14","FALSE","155"
"156","1419","płocki","14","FALSE","156"
"157","1420","płoński","14","FALSE","157"
"158","1421","pruszkowski","14","FALSE","158"
"159","1422","przasnyski","14","FALSE","159"
"160","1423","przysuski","14","FALSE","160"
"161","1424","pułtuski","14","FALSE","161"
"162","1425","radomski","14","FALSE","162"
"163","1426","siedlecki","14","FALSE","163"
"164","1427","sierpecki","14","FALSE","164"
"165","1428","sochaczewski","14","FALSE","165"
"166","1429","sokołowski","14","FALSE","166"
"167","1430","szydłowiecki","14","FALSE","167"
"168","1432","warszawski zachodni","14","FALSE","168"
"169","1433","węgrowski","14","FALSE","169"
"170","1434","wołomiński","14","FALSE","170"
"171","1435","wyszkowski","14","FALSE","171"
"172","1436","zwoleński","14","FALSE","172"
"173","1437","żuromiński","14","FALSE","173"
"174","1438","żyrardowski","14","FALSE","174"
"175","1461","Ostrołęka","14","FALSE","175"
"176","1462","Płock","14","FALSE","176"
"177","1463","Radom","14","FALSE","177"
"178","1464","Siedlce","14","FALSE","178"
"179","1465","Warszawa","14","FALSE","179"
"180","1601","brzeski","16","FALSE","180"
"181","1602","głubczycki","16","FALSE","181"
"182","1603","kędzierzyńsko-kozielski","16","FALSE","182"
"183","1604","kluczborski","16","FALSE","183"
"184","1605","krapkowicki","16","FALSE","184"
"185","1606","namysłowski","16","FALSE","185"
"186","1607","nyski","16","FALSE","186"
"187","1608","oleski","16","FALSE","187"
"188","1609","opolski","16","FALSE","188"
"189","1610","prudnicki","16","FALSE","189"
"190","1611","strzelecki","16","FALSE","190"
"191","1661","Opole","16","FALSE","191"
"192","1801","bieszczadzki","18","FALSE","192"
"193","1802","brzozowski","18","FALSE","193"
"194","1803","dębicki","18","FALSE","194"
"195","1804","jarosławski","18","FALSE","195"
"196","1805","jasielski","18","FALSE","196"
"197","1806","kolbuszowski","18","FALSE","197"
"198","1807","krośnieński","18","FALSE","198"
"199","1808","leżajski","18","FALSE","199"
"200","1809","lubaczowski","18","FALSE","200"
"201","1810","łańcucki","18","FALSE","201"
"202","1811","mielecki","18","FALSE","202"
"203","1812","niżański","18","FALSE","203"
"204","1813","przemyski","18","FALSE","204"
"205","1814","przeworski","18","FALSE","205"
"206","1815","ropczycko-sędziszowski","18","FALSE","206"
"207","1816","rzeszowski","18","FALSE","207"
"208","1817","sanocki","18","FALSE","208"
"209","1818","stalowowolski","18","FALSE","209"
"210","1819","strzyżowski","18","FALSE","210"
"211","1820","tarnobrzeski","18","FALSE","211"
"212","1821","leski","18","FALSE","212"
"213","1861","Krosno","18","FALSE","213"
"214","1862","Przemyśl","18","FALSE","214"
"215","1863","Rzeszów","18","FALSE","215"
"216","1864","Tarnobrzeg","18","FALSE","216"
"217","2001","augustowski","20","FALSE","217"
"218","2002","białostocki","20","FALSE","218"
"219","2003","bielski","20","FALSE","219"
"220","2004","grajewski","20","FALSE","220"
"221","2005","hajnowski","20","FALSE","221"
"222","2006","kolneński","20","FALSE","222"
"223","2007","łomżyński","20","FALSE","223"
"224","2008","moniecki","20","FALSE","224"
"225","2009","sejneński","20","FALSE","225"
"226","2010","siemiatycki","20","FALSE","226"
"227","2011","sokólski","20","FALSE","227"
"228","2012","suwalski","20","FALSE","228"
"229","2013","wysokomazowiecki","20","FALSE","229"
"230","2014","zambrowski","20","FALSE","230"
"231","2061","Białystok","20","FALSE","231"
"232","2062","Łomża","20","FALSE","232"
"233","2063","Suwałki","20","FALSE","233"
"234","2201","bytowski","22","FALSE","234"
"235","2202","chojnicki","22","FALSE","235"
"236","2203","człuchowski","22","FALSE","236"
"237","2204","gdański","22","FALSE","237"
"238","2205","kartuski","22","FALSE","238"
"239","2206","kościerski","22","FALSE","239"
"240","2207","kwidzyński","22","FALSE","240"
"241","2208","lęborski","22","FALSE","241"
"242","2209","malborski","22","FALSE","242"
"243","2210","nowodworski","22","FALSE","243"
"244","2211","pucki","22","FALSE","244"
"245","2212","słupski","22","FALSE","245"
"246","2213","starogardzki","22","FALSE","246"
"247","2214","tczewski","22","FALSE","247"
"248","2215","wejherowski","22","FALSE","248"
"249","2216","sztumski","22","FALSE","249"
"250","2261","Gdańsk","22","FALSE","250"
"251","2262","Gdynia","22","FALSE","251"
"252","2263","Słupsk","22","FALSE","252"
"253","2264","Sopot","22","FALSE","253"
"254","2401","będziński","24","FALSE","254"
"255","2402","bielski","24","FALSE","255"
"256","2403","cieszyński","24","FALSE","256"
"257","2404","częstochowski","24","FALSE","257"
"258","2405","gliwicki","24","FALSE","258"
"259","2406","kłobucki","24","FALSE","259"
"260","2407","lubliniecki","24","FALSE","260"
"261","2408","mikołowski","24","FALSE","261"
"262","2409","myszkowski","24","FALSE","262"
"263","2410","pszczyński","24","FALSE","263"
"264","2411","raciborski","24","FALSE","264"
"265","2412","rybnicki","24","FALSE","265"
"266","2413","tarnogórski","24","FALSE","266"
"267","2414","bieruńsko-lędziński","24","FALSE","267"
"268","2415","wodzisławski","24","FALSE","268"
"269","2416","zawierciański","24","FALSE","269"
"270","2417","żywiecki","24","FALSE","270"
"271","2461","Bielsko-Biała","24","FALSE","271"
"272","2462","Bytom","24","FALSE","272"
"273","2463","Chorzów","24","FALSE","273"
"274","2464","Częstochowa","24","FALSE","274"
"275","2465","Dąbrowa Górnicza","24","FALSE","275"
"276","2466","Gliwice","24","FALSE","276"
"277","2467","Jastrzębie-Zdrój","24","FALSE","277"
"278","2468","Jaworzno","24","FALSE","278"
"279","2469","Katowice","24","FALSE","279"
"280","2470","Mysłowice","24","FALSE","280"
"281","2471","Piekary Śląskie","24","FALSE","281"
"282","2472","Ruda Śląska","24","FALSE","282"
"283","2473","Rybnik","24","FALSE","283"
"284","2474","Siemianowice Śląskie","24","FALSE","284"
"285","2475","Sosnowiec","24","FALSE","285"
"286","2476","Świętochłowice","24","FALSE","286"
"287","2477","Tychy","24","FALSE","287"
"288","2478","Zabrze","24","FALSE","288"
"289","2479","Żory","24","FALSE","289"
"290","2601","buski","26","FALSE","290"
"291","2602","jędrzejowski","26","FALSE","291"
"292","2603","kazimierski","26","FALSE","292"
"293","2604","kielecki","26","FALSE","293"
"294","2605","konecki","26","FALSE","294"
"295","2606","opatowski","26","FALSE","295"
"296","2607","ostrowiecki","26","FALSE","296"
"297","2608","pińczowski","26","FALSE","297"
"298","2609","sandomierski","26","FALSE","298"
"299","2610","skarżyski","26","FALSE","299"
"300","2611","starachowicki","26","FALSE","300"
"301","2612","staszowski","26","FALSE","301"
"302","2613","włoszczowski","26","FALSE","302"
"303","2661","Kielce","26","FALSE","303"
"304","2801","bartoszycki","28","FALSE","304"
"305","2802","braniewski","28","FALSE","305"
"306","2803","działdowski","28","FALSE","306"
"307","2804","elbląski","28","FALSE","307"
"308","2805","ełcki","28","FALSE","308"
"309","2806","giżycki","28","FALSE","309"
"310","2807","iławski","28","FALSE","310"
"311","2808","kętrzyński","28","FALSE","311"
"312","2809","lidzbarski","28","FALSE","312"
"313","2810","mrągowski","28","FALSE","313"
"314","2811","nidzicki","28","FALSE","314"
"315","2812","nowomiejski","28","FALSE","315"
"316","2813","olecki","28","FALSE","316"
"317","2814","olsztyński","28","FALSE","317"
"318","2815","ostródzki","28","FALSE","318"
"319","2816","piski","28","FALSE","319"
"320","2817","szczycieński","28","FALSE","320"
"321","2818","gołdapski","28","FALSE","321"
"322","2819","węgorzewski","28","FALSE","322"
"323","2861","Elbląg","28","FALSE","323"
"324","2862","Olsztyn","28","FALSE","324"
"325","3001","chodzieski","30","FALSE","325"
"326","3002","czarnkowsko-trzcianecki","30","FALSE","326"
"327","3003","gnieźnieński","30","FALSE","327"
"328","3004","gostyński","30","FALSE","328"
"329","3005","grodziski","30","FALSE","329"
"330","3006","jarociński","30","FALSE","330"
"331","3007","kaliski","30","FALSE","331"
"332","3008","kępiński","30","FALSE","332"
"333","3009","kolski","30","FALSE","333"
"334","3010","koniński","30","FALSE","334"
"335","3011","kościański","30","FALSE","335"
"336","3012","krotoszyński","30","FALSE","336"
"337","3013","leszczyński","30","FALSE","337"
"338","3014","międzychodzki","30","FALSE","338"
"339","3015","nowotomyski","30","FALSE","339"
"340","3016","obornicki","30","FALSE","340"
"341","3017","ostrowski","30","FALSE","341"
"342","3018","ostrzeszowski","30","FALSE","342"
"343","3019","pilski","30","FALSE","343"
"344","3020","pleszewski","30","FALSE","344"
"345","3021","poznański","30","FALSE","345"
"346","3022","rawicki","30","FALSE","346"
"347","3023","słupecki","30","FALSE","347"
"348","3024","szamotulski","30","FALSE","348"
"349","3025","średzki","30","FALSE","349"
"350","3026","śremski","30","FALSE","350"
"351","3027","turecki","30","FALSE","351"
"352","3028","wągrowiecki","30","FALSE","352"
"353","3029","wolsztyński","30","FALSE","353"
